mss_window,fvg_min,expiry_bars,n,exp,pf,dd,tpm
8,0.3,8,11,-0.0656398130610329,0.9045806211941272,3.0680795965671837,0.44408488063660484
8,0.3,15,11,-0.0656398130610329,0.9045806211941272,3.0680795965671837,0.44408488063660484
8,0.3,24,11,-0.0656398130610329,0.9045806211941272,3.0680795965671837,0.44408488063660484
8,0.5,8,7,-0.00792921343748189,0.9890608109388679,3.0680795965671837,0.3048354792560801
8,0.5,15,7,-0.00792921343748189,0.9890608109388679,3.0680795965671837,0.3048354792560801
8,0.5,24,7,-0.00792921343748189,0.9890608109388679,3.0680795965671837,0.3048354792560801
8,0.8,8,5,0.7410730142313693,3.821966776046595,0.0,0.22186588921282802
8,0.8,15,5,0.7410730142313693,3.821966776046595,0.0,0.22186588921282802
8,0.8,24,5,0.7410730142313693,3.821966776046595,0.0,0.22186588921282802
14,0.3,8,16,-0.19584428601888687,0.74033944836928,5.806416310565585,0.6459416445623343
14,0.3,15,16,-0.19584428601888687,0.74033944836928,5.806416310565585,0.6459416445623343
14,0.3,24,16,-0.19584428601888687,0.74033944836928,5.806416310565585,0.6459416445623343
14,0.5,8,12,-0.07846474820953642,0.87839899447256,2.688769251739333,0.5225751072961373
14,0.5,15,12,-0.07846474820953642,0.87839899447256,2.688769251739333,0.5225751072961373
14,0.5,24,12,-0.07846474820953642,0.87839899447256,2.688769251739333,0.5225751072961373
14,0.8,8,8,0.17692759469991384,1.3554281244224786,2.669254658385386,0.35446870451237267
14,0.8,15,8,0.17692759469991384,1.3554281244224786,2.669254658385386,0.35446870451237267
14,0.8,24,8,0.17692759469991384,1.3554281244224786,2.669254658385386,0.35446870451237267
20,0.3,8,22,-0.06406692949453617,0.9288064824776371,9.050215535030212,0.8881697612732097
20,0.3,15,22,-0.06406692949453617,0.9288064824776371,9.050215535030212,0.8881697612732097
20,0.3,24,22,-0.06406692949453617,0.9288064824776371,9.050215535030212,0.8881697612732097
20,0.5,8,15,-0.1825907947548271,0.7620945862672681,4.929226168357849,0.6532188841201717
20,0.5,15,15,-0.1825907947548271,0.7620945862672681,4.929226168357849,0.6532188841201717
20,0.5,24,15,-0.1825907947548271,0.7620945862672681,4.929226168357849,0.6532188841201717
20,0.8,8,8,0.17692759469991384,1.3554281244224786,2.669254658385386,0.35446870451237267
20,0.8,15,8,0.17692759469991384,1.3554281244224786,2.669254658385386,0.35446870451237267
20,0.8,24,8,0.17692759469991384,1.3554281244224786,2.669254658385386,0.35446870451237267
